ref_area,indicator,source,classif1,time,obs_value,note_source
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2016,1.34,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2016,0.34,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2017,-1.03,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2017,6.86,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2017,-7.49,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2017,2.58,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2017,-4.69,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2017,-2.14,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2017,2.46,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2017,4.12,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2017,-2.71,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2017,-10.16,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2017,12.8,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2017,1.56,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2017,1.45,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2018,3.63,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2018,11.44,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2018,4.19,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2018,0.5,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2018,0.23,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2018,1.33,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2018,6.87,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2018,7.43,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2018,3.18,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2018,2.5,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2018,2.4,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2018,2.72,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2018,0.69,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2019,4.26,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2019,12.82,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2019,14.56,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2019,5.45,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2019,1.23,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2019,0.19,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2019,2.64,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2019,1.09,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2019,8.69,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2019,3.93,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2019,0.24,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2019,3.99,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2019,3.08,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP01T12,2006,6.78,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP01,2006,6.26,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP02,2006,3.81,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP03,2006,2.44,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP04,2006,10.46,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP05,2006,4.07,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP06,2006,10.34,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP07,2006,22.03,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP08,2006,-0.14,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP10,2006,-0.25,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP12,2006,9.2,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP01T12,2007,8.68,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP01,2007,12.34,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP02,2007,3.97,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP03,2007,3.05,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP04,2007,3.31,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP05,2007,3.61,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP06,2007,7.66,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP07,2007,14.23,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP08,2007,2.56,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP10,2007,0.38,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP12,2007,9.05,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP01T12,2008,26.42,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP01,2008,41.07,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP02,2008,6.14,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP03,2008,7.66,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP04,2008,8.41,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP05,2008,6.13,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP06,2008,8.43,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP07,2008,24.76,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP08,2008,2.21,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP10,2008,2.7,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP12,2008,19.84,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP01T12,2009,-6.81,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP01,2009,-13.35,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP02,2009,9.83,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP03,2009,7.93,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP04,2009,2.48,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP05,2009,4.86,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP06,2009,9.89,R1:3139
AFG,CPI_NCYR_COI_RT,GA:2272,COI_COICOP_CP07,2009,-8.94,R1:3139
